Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
260,El Cajon, CA,#BlueLivesMurder,Fri Jun 19 23:41:19 +0000 2020,32.8017,-116.9604,#dbcbd8,2769.0,103894.0,1
262,Colorado Springs, CO,#BlueLivesMurder,Fri Jun 19 21:57:29 +0000 2020,38.8674,-104.7606,#dbcbd8,919.0,623946.0,1
264,Steilacoom, WA,#BlueLivesMurder,Fri Jun 19 20:56:06 +0000 2020,47.1699,-122.5935,#dbcbd8,1215.0,6337.0,1
266,Ohio, USA,#BlueLivesMurder,Fri Jun 19 20:52:53 +0000 2020,40.35181636212625,-82.80448712624585,#dbcbd8,549.1569767441861,11432.45265780731,1
267,Austin, TX,#BlueLivesMurder,Fri Jun 19 20:48:42 +0000 2020,30.3006,-97.7517,#dbcbd8,1144.0,1638716.0,1
268,Oceanside, CA,#BlueLivesMurder,Fri Jun 19 17:43:14 +0000 2020,33.2247,-117.3083,#dbcbd8,1649.0,176193.0,1
269,California, USA,#DisarmthePolice,Sun Jun 21 05:23:37 +0000 2020,36.924938936877076,-120.18747089700997,#562c2c,956.9958139534883,39607.22724252492,3
270,Dallas, TX,#DisarmthePolice,Sun Jun 21 04:41:45 +0000 2020,32.7936,-96.7662,#562c2c,1524.0,5733259.0,1
272,New York, NY,#DisarmthePolice,Sun Jun 21 01:55:03 +0000 2020,40.6943,-73.9249,#562c2c,11083.0,19354922.0,1
273,Doniphan, Nebraska,#DisarmthePolice,Sat Jun 20 22:35:55 +0000 2020,40.7742,-98.3708,#562c2c,641.0,844.0,1
274,Drexel Hill, PA,#DisarmthePolice,Sat Jun 20 22:30:37 +0000 2020,39.9495,-75.3039,#562c2c,3412.0,28246.0,1
275,Union City, NJ,#DisarmthePolice,Sat Jun 20 22:17:29 +0000 2020,40.7674,-74.0323,#562c2c,21116.0,70387.0,1
276,Connecticut, USA,#DisarmthePolice,Sat Jun 20 21:03:47 +0000 2020,41.55448839285714,-72.6807919642857,#562c2c,749.8392857142857,36364.169642857145,1
277,California, USA,#DisarmthePolice,Sat Jun 20 20:21:58 +0000 2020,36.924938936877076,-120.18747089700997,#562c2c,956.9958139534883,39607.22724252492,3
280,Seattle, WA,#DisarmthePolice,Sat Jun 20 06:50:15 +0000 2020,47.6211,-122.3244,#562c2c,3336.0,3643765.0,1
